id;pisco;data;mes;NOM_EST;COD_EST;COD_PISCO
381;16.45821762;18.7;1/09/2012;ANANEA;X114050;1
382;24.50581551;22.2;1/10/2012;ANANEA;X114050;1
383;68.53910065;69.6;1/11/2012;ANANEA;X114050;1
384;148.1939697;151;1/12/2012;ANANEA;X114050;1
385;119.6657181;175.1;1/01/2013;ANANEA;X114050;1
386;121.2628021;88.2;1/02/2013;ANANEA;X114050;1
387;96.30807495;69.6;1/03/2013;ANANEA;X114050;1
388;46.27108383;12;1/04/2013;ANANEA;X114050;1
389;25.56148911;4.7;1/05/2013;ANANEA;X114050;1
390;6.046998978;3.8;1/06/2013;ANANEA;X114050;1
391;6.008935452;7.1;1/07/2013;ANANEA;X114050;1
392;8.609146118;16.5;1/08/2013;ANANEA;X114050;1
393;25.9484024;11.2;1/09/2013;ANANEA;X114050;1
394;82.94379425;86.1;1/10/2013;ANANEA;X114050;1
395;41.5290451;71.9;1/11/2013;ANANEA;X114050;1
396;128.7723846;80.1;1/12/2013;ANANEA;X114050;1
397;127.2759705;140.3;1/01/2014;ANANEA;X114050;1
398;104.4091644;124.4;1/02/2014;ANANEA;X114050;1
399;61.59080887;114.6;1/03/2014;ANANEA;X114050;1
400;36.61209488;37.4;1/04/2014;ANANEA;X114050;1
401;20.75637436;16.3;1/05/2014;ANANEA;X114050;1
402;0.764034867;2.4;1/06/2014;ANANEA;X114050;1
403;10.25642204;23.5;1/07/2014;ANANEA;X114050;1
404;13.64501572;8.1;1/08/2014;ANANEA;X114050;1
405;29.06414032;52.8;1/09/2014;ANANEA;X114050;1
406;38.97675323;42.8;1/10/2014;ANANEA;X114050;1
407;31.90296936;60.6;1/11/2014;ANANEA;X114050;1
408;83.02320099;;1/12/2014;ANANEA;X114050;1
409;140.1235352;161;1/01/2015;ANANEA;X114050;1
410;92.13278198;85;1/02/2015;ANANEA;X114050;1
411;68.08693695;111.6;1/03/2015;ANANEA;X114050;1
412;80.55615234;88;1/04/2015;ANANEA;X114050;1
413;17.08045959;44.1;1/05/2015;ANANEA;X114050;1
414;3.040808201;7.2;1/06/2015;ANANEA;X114050;1
415;11.35414314;33.6;1/07/2015;ANANEA;X114050;1
416;23.29280281;31.9;1/08/2015;ANANEA;X114050;1
417;34.88690948;18.4;1/09/2015;ANANEA;X114050;1
418;45.16897583;38.9;1/10/2015;ANANEA;X114050;1
419;66.76022339;61.1;1/11/2015;ANANEA;X114050;1
420;96.9650116;70.5;1/12/2015;ANANEA;X114050;1
421;69.34107208;131.1;1/01/2016;ANANEA;X114050;1
422;155.5980988;106.2;1/02/2016;ANANEA;X114050;1
423;26.01224899;36.8;1/03/2016;ANANEA;X114050;1
424;60.77349091;56.9;1/04/2016;ANANEA;X114050;1
425;3.271982908;5.2;1/05/2016;ANANEA;X114050;1
426;0.514960408;;1/06/2016;ANANEA;X114050;1
427;10.9484148;13.1;1/07/2016;ANANEA;X114050;1
428;14.17187023;13.8;1/08/2016;ANANEA;X114050;1
429;25.3543129;34.1;1/09/2016;ANANEA;X114050;1
430;70.01637268;74.1;1/10/2016;ANANEA;X114050;1
431;44.80389404;48.7;1/11/2016;ANANEA;X114050;1
432;72.15142822;83.9;1/12/2016;ANANEA;X114050;1
433;155.8910675;147.4;1/01/1981;PROGRESO;X114040;2
434;103.9149628;101.1;1/02/1981;PROGRESO;X114040;2
435;100.1650925;102.6;1/03/1981;PROGRESO;X114040;2
436;51.57674789;52;1/04/1981;PROGRESO;X114040;2
437;3.082185268;1.9;1/05/1981;PROGRESO;X114040;2
438;0.76584661;;1/06/1981;PROGRESO;X114040;2
439;0.129512846;;1/07/1981;PROGRESO;X114040;2
440;15.30870914;13.2;1/08/1981;PROGRESO;X114040;2
441;29.32529831;32.9;1/09/1981;PROGRESO;X114040;2
442;64.19664764;65.3;1/10/1981;PROGRESO;X114040;2
443;67.03440094;72.8;1/11/1981;PROGRESO;X114040;2
444;109.1335754;109.9;1/12/1981;PROGRESO;X114040;2
445;162.6649323;191.7;1/01/1982;PROGRESO;X114040;2
446;57.98094177;53.9;1/02/1982;PROGRESO;X114040;2
447;93.05306244;95.5;1/03/1982;PROGRESO;X114040;2
448;39.55730438;29.8;1/04/1982;PROGRESO;X114040;2
449;0.179895326;;1/05/1982;PROGRESO;X114040;2
450;0.139927298;;1/06/1982;PROGRESO;X114040;2
